0,1,2,3,4,5,6,7,8
Start Date,1989-12-31 00:00:00,,,,,,,
End Date,,,,,,,,
,Industrial production,CFNAI Index,Manufacturing ISM,Manufacturing ISM - Price Paid,Service ISM,Service ISM - Price Paid,US Retail Sales,Richmond Fed Index
,IP Index,CFNAI Index,NAPMPMI Index,NAPMPMI Index,NAPMNMI Index,NAPMNPRC Index,MTSLRRT$ Index,RCHSINDX Index
,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2004-01-31 00:00:00,92.4006,0.05,60.8,60.8,58,59.5,319945,13
2004-02-29 00:00:00,92.958,0.45,59.9,59.9,58.3,65,325217,27
2004-03-31 00:00:00,92.5861,0.54,60.6,60.6,59.6,68.6,321479,12
2004-04-30 00:00:00,92.93,0.08,60.6,60.6,58.5,71,325440,17
2004-05-31 00:00:00,93.6013,0.55,61.4,61.4,58.6,74.2,319732,10
2004-06-30 00:00:00,92.871,-0.28,60.5,60.5,58.5,71.9,323879,2
2004-07-31 00:00:00,93.5649,0.47,59.9,59.9,57.3,70.9,324925,9
2004-08-31 00:00:00,93.6277,0.29,58.5,58.5,57.9,67,329935,5
2004-09-30 00:00:00,93.7467,0.17,57.4,57.4,58.8,72.8,329496,3
2004-10-31 00:00:00,94.5465,0.43,56.3,56.3,58.4,70.6,328947,0
2004-11-30 00:00:00,94.7813,0.04,56.2,56.2,59.6,71.3,333451,5
2004-12-31 00:00:00,95.5365,0.85,57.2,57.2,58,69.1,331010,5
2005-01-31 00:00:00,95.8801,0.19,56.8,56.8,59.4,69.7,334007,10
2005-02-28 00:00:00,96.5761,0.4,55.5,55.5,58,65.6,334036,3
2005-03-31 00:00:00,96.4456,-0.28,55.2,55.2,55.6,62.4,335496,2
2005-04-30 00:00:00,96.6532,0.57,52.2,52.2,55.3,57.6,334185,14
2005-05-31 00:00:00,96.7402,-0.02,50.8,50.8,58.1,58.4,344477,3
2005-06-30 00:00:00,97.1753,0.41,52.4,52.4,59.5,65.8,344906,-10
2005-07-31 00:00:00,96.8676,-0.05,52.8,52.8,61.3,66.1,338601,3
2005-08-31 00:00:00,97.1833,0.21,52.4,52.4,55.7,83.5,333165,2
2005-09-30 00:00:00,95.3005,-0.62,56.8,56.8,57.4,79.2,334097,4
2005-10-31 00:00:00,96.4572,0.65,57.2,57.2,59.1,72.6,341219,2
2005-11-30 00:00:00,97.5414,0.75,56.7,56.7,59,68.9,341706,-3
2005-12-31 00:00:00,98.0452,0.33,55.1,55.1,56.3,69.9,348958,6
2006-01-31 00:00:00,98.1999,0.47,55,55,57.6,67.8,347153,1
2006-02-28 00:00:00,98.2413,0.1,55.8,55.8,56.9,60.1,347541,14
2006-03-31 00:00:00,98.4628,0.22,54.3,54.3,58.4,68.5,346956,8
2006-04-30 00:00:00,98.7618,-0.09,55.2,55.2,57,70.5,345410,-4
2006-05-31 00:00:00,98.7869,0.02,53.7,53.7,55.2,69,346670,-3
2006-06-30 00:00:00,99.0997,0.03,52,52,55.6,70.6,345523,5
2006-07-31 00:00:00,99.0489,-0.28,53,53,53.9,72.2,345324,-2
