Date,Industrial production,CFNAI Index,Manufacturing ISM,Manufacturing ISM - Price Paid,Service ISM,Service ISM - Price Paid,US Retail Sales,Industrial production_growth,US Retail Sales_growth,CFNAI Index_chg,Manufacturing ISM_chg,Manufacturing ISM - Price Paid_chg,Service ISM_chg,Service ISM - Price Paid_chg
1999-03-31,88.2267,-0.08,52.4,52.4,55.5,51.4,271441.0,0.22660526894455305,-0.34203029967394644,-0.61,0.6999999999999957,0.6999999999999957,0.20000000000000284,2.5
1999-04-30,88.4295,0.0,52.3,52.3,55.3,52.9,274224.0,0.22959860915069005,1.0200486125619577,0.08,-0.10000000000000142,-0.10000000000000142,-0.20000000000000284,1.5
1999-05-31,88.9886,0.56,54.3,54.3,56.7,53.2,274868.0,0.6302647258384999,0.2345691779477667,0.56,2.0,2.0,1.4000000000000057,0.30000000000000426
1999-06-30,88.9188,-0.08,55.8,55.8,56.2,57.7,275879.0,-0.07846779120085433,0.36713813624367236,-0.64,1.5,1.5,-0.5,4.5
1999-07-31,89.4333,0.18,53.6,53.6,56.4,58.9,277943.0,0.5769502318011012,0.7453692904534853,0.26,-2.1999999999999957,-2.1999999999999957,0.19999999999999574,1.1999999999999957
1999-08-31,89.7924,0.34,54.8,54.8,56.2,64.2,278081.0,0.40072431636249917,0.04963814613524528,0.16000000000000003,1.1999999999999957,1.1999999999999957,-0.19999999999999574,5.300000000000004
1999-09-30,89.4299,-0.2,57.0,57.0,57.6,58.9,278354.0,-0.4045261045452114,0.09812467652275997,-0.54,2.200000000000003,2.200000000000003,1.3999999999999986,-5.300000000000004
1999-10-31,90.523,0.75,57.2,57.2,54.9,61.0,281959.0,1.2148883898798781,1.2867985373784925,0.95,0.20000000000000284,0.20000000000000284,-2.700000000000003,2.1000000000000014
1999-11-30,90.9618,0.36,58.1,58.1,56.9,60.5,286783.0,0.48356761014250027,1.6964161915689242,-0.39,0.8999999999999986,0.8999999999999986,2.0,-0.5
1999-12-31,91.6634,0.6,57.8,57.8,56.6,61.4,283897.0,0.7683533835146547,-1.0114335890718693,0.24,-0.30000000000000426,-0.30000000000000426,-0.29999999999999716,0.8999999999999986
2000-01-31,91.538,0.16,56.7,56.7,56.2,66.5,286825.0,-0.13689853853143383,1.0260777363205258,-0.43999999999999995,-1.0999999999999943,-1.0999999999999943,-0.3999999999999986,5.100000000000001
2000-02-29,91.8239,-0.23,55.8,55.8,57.4,68.6,287628.0,0.311842571099073,0.2795704863646997,-0.39,-0.9000000000000057,-0.9000000000000057,1.1999999999999957,2.0999999999999943
2000-03-31,92.1504,0.44,54.9,54.9,58.0,65.0,284052.0,0.35494125296792517,-1.251065855659963,0.67,-0.8999999999999986,-0.8999999999999986,0.6000000000000014,-3.5999999999999943
2000-04-30,92.6989,0.42,54.7,54.7,57.7,64.2,284699.0,0.5934581411047356,0.22751618163031184,-0.020000000000000018,-0.19999999999999574,-0.19999999999999574,-0.29999999999999716,-0.7999999999999972
2000-05-31,92.9499,-0.35,53.2,53.2,56.9,65.0,285397.0,0.2704032053406759,0.2448711616213005,-0.77,-1.5,-1.5,-0.8000000000000043,0.7999999999999972
