Date,US GDP,GDP - Personal Consumption,GDP - Goods Consumption,GDP - Durable Goods Consumption,GDP - Non durable Goods,GDP - Service,GDP - Investment,US GDP_growth,GDP - Personal Consumption_growth,GDP - Goods Consumption_growth,GDP - Durable Goods Consumption_growth,GDP - Non durable Goods_growth,GDP - Service_growth,GDP - Investment_growth
1990-03-31,10047.4,6357.2,1844.4,390.9,1576.7,4173.4,1304.6,1.086760553249623,0.8371950899879979,1.3317520261709495,4.125911571106727,-0.13310095452559562,0.5140905453559739,0.9859885763623227
1990-06-30,10083.9,6376.6,1824.6,378.0,1578.4,4224.1,1305.0,0.3626198009648271,0.30470111058096006,-1.0793236421176604,-3.3557577179321325,0.10776204649694775,1.207516904900691,0.030656039479823795
1990-09-30,10090.6,6401.8,1820.4,374.2,1581.0,4257.9,1279.7,0.06642048374255186,0.39441608759221763,-0.23045277688870225,-1.0103781779598486,0.1645882501066329,0.7969860625030422,-1.9577365313243444
1990-12-31,9998.7,6353.1,1791.6,363.9,1565.1,4247.8,1208.1,-0.9149212870892265,-0.7636318066750244,-1.5947181809341966,-2.7911309221875142,-1.0107838513015357,-0.23748791391753768,-5.757679791803221
1991-03-31,9951.9,6329.2,1776.3,353.9,1565.9,4244.5,1167.9,-0.4691596828484782,-0.37690368928178497,-0.8576526127304849,-2.786471726669639,0.05110188549406197,-0.07771746561238113,-3.384161324099831
1991-06-30,10029.5,6381.7,1786.2,355.6,1575.1,4286.8,1167.9,0.7767262567786628,0.8260673680715487,0.5557909043945721,0.4792116288331874,0.585802375629244,0.9916506660819443,0.0
1991-09-30,10080.2,6413.5,1797.0,361.1,1577.7,4305.3,1191.0,0.5042353433613194,0.4970624214361836,0.6028149533773252,1.5348424643662586,0.16493279557186058,0.4306288006153923,1.9586026070780318
1991-12-31,10115.3,6410.3,1777.1,355.2,1564.2,4331.0,1233.3,0.34760253860554763,-0.04990720482882541,-1.1135785592118435,-1.6473917165397125,-0.8593579095897155,0.595164036963067,3.4900213216642295
1992-03-31,10236.4,6530.3,1817.3,369.2,1587.4,4401.9,1210.5,1.19008661964942,1.8546812330611526,2.2369060895774964,3.8657491510682083,1.472294648926414,1.6237803666904127,-1.8660006193829248
1992-06-30,10347.4,6574.7,1826.6,371.7,1594.1,4436.2,1278.9,1.078528512518432,0.6776065606350232,0.5104432170362853,0.6748574674509379,0.421185598282558,0.7761888235158108,5.496683606116124
1992-09-30,10449.7,6645.1,1846.5,379.6,1603.6,4483.1,1289.1,0.9837989440799895,1.0650791314487127,1.0835640035039373,2.1030989432566343,0.5941788128751043,1.0516617281153466,0.7943967009784644
1992-12-31,10558.6,6724.3,1871.0,387.2,1619.7,4533.0,1328.4,1.036742386683462,1.1848089889984041,1.3181091981471615,1.982328866664913,0.998984512399912,1.1069200543006914,3.003091005353244
1993-03-31,10576.3,6750.1,1878.2,391.0,1621.3,4550.3,1359.8,0.167495508737435,0.3829488738601774,0.38408240964237034,0.9766204582943857,0.0987349663672392,0.38091928965259314,2.3362419589767565
1993-06-30,10637.8,6811.5,1908.3,403.6,1634.2,4573.3,1367.6,0.579804679800757,0.9055040634463472,1.5898921982354972,3.1716728494088207,0.7925091394583652,0.5041880118091487,0.5719748672786908
1993-09-30,10688.6,6887.3,1928.1,408.1,1650.4,4626.3,1358.3,0.4764057326198817,1.1066775720917716,1.0322268692481953,1.1087953932306094,0.9864294806435022,1.152236757625375,-0.6823460936701107
1993-12-31,10834.0,6947.8,1952.6,418.0,1661.9,4656.2,1429.7,1.3511584292529446,0.874592675771288,1.2626755746220815,2.3969190112996186,0.6943843376435426,0.6442252283460171,5.123071420667339
1994-03-31,10939.1,7027.3,1985.7,427.9,1684.1,4694.6,1484.1,0.9654189463599645,1.1377501068048026,1.680967900141581,2.3408090898014806,1.3269770328530897,0.8213247179606232,3.734389586665412
1994-06-30,11087.4,7081.9,2003.4,432.5,1697.4,4728.0,1557.1,1.3465801729991007,0.7739669514363693,0.8874240384677157,1.0692802949162865,0.7866372073568018,0.7089368091147256,4.801658894560645
1994-09-30,11152.2,7135.9,2021.9,437.1,1712.1,4759.5,1531.7,0.5827459430927556,0.7596148441583207,0.9191926195591325,1.0579675497334933,0.8623018675195554,0.6640340605425766,-1.6446887176870657
1994-12-31,11279.9,7213.1,2060.6,452.4,1730.2,4787.8,1594.7,1.138559292216397,1.076043555575414,1.8959539137712416,3.4404742372696377,1.0516321535501825,0.5928395019664691,4.030740108341817
1995-03-31,11320.0,7231.0,2050.4,443.1,1736.4,4820.8,1611.4,0.3548691992647672,0.2478521910456479,-0.49623064611061896,-2.077126603652148,0.3576995679164613,0.6868873665012233,1.041773558916896
1995-06-30,11353.7,7294.4,2064.2,447.6,1745.0,4868.8,1578.0,0.2972609218219363,0.872959128422517,0.670784608197135,1.010449823232626,0.4940551211089007,0.9907610766669848,-2.0945143937276116
1995-09-30,11450.3,7360.5,2089.2,460.2,1751.2,4904.4,1568.6,0.8472248537118008,0.9020934738890769,1.2038475430310691,2.776120116349525,0.3546711572125612,0.7285261215525239,-0.5974720627253494
1995-12-31,11528.1,7411.9,2108.9,468.2,1760.2,4931.6,1607.5,0.6771602660798506,0.6958951480983352,0.9385266955575132,1.7234377455544798,0.512617173105824,0.5530717636165997,2.449667533320838
1996-03-31,11614.4,7480.2,2125.8,473.3,1771.6,4980.5,1633.3,0.7458174357266398,0.9172712899933065,0.7981717581762572,1.0833881855391945,0.6455654109331715,0.9866808590822552,1.592233094731902
1996-06-30,11808.1,7560.7,2167.3,488.3,1794.4,5009.1,1711.8,1.654002910850552,1.0704248900757543,1.93339510948751,3.1200534155412365,1.2787611156955585,0.5725970637800752,4.694294038841582
1996-09-30,11914.1,7606.5,2182.7,491.8,1807.1,5036.3,1789.6,0.8936836000980398,0.6039366423441727,0.7080489350675154,0.7142158714477707,0.7052646198119752,0.5415427255095087,4.444668272841043
1996-12-31,12037.8,7667.1,2209.1,501.4,1821.8,5064.4,1787.2,1.0329126274148144,0.7935302481830784,1.2022550203107296,1.9332055942100665,0.8101672906591094,0.5563985167981731,-0.1341981860983554
