window,target,model,n_obs,n_regressors,r_squared,adj_r_squared,aic,bic,rmse,mae,regressors
FOCUS,GDP - Durable Goods Consumption_growth,M5_full,44,6,0.22558582206017563,0.1000051445564204,192.85609158867516,205.34541902610297,1.8469156897232437,1.338060417963866,oil_pos | oil_large_shock | oil_pos_lag1 | oil_pos_lag2 | oil_pos_x_large | GDP - Durable Goods Consumption_growth_lag1
FOCUS,GDP - Durable Goods Consumption_growth,M3_oil_lags,44,4,0.1211214313706479,0.030980039716355323,194.42384705129803,203.34479522088932,1.9675458435983821,1.5446513812069584,oil_pos | oil_pos_lag1 | oil_pos_lag2 | GDP - Durable Goods Consumption_growth_lag1
FOCUS,GDP - Durable Goods Consumption_growth,M4_interaction,44,4,0.0761908229317878,-0.018558836254695565,196.61763385647572,205.53858202606702,2.017212074515482,1.5132182644247139,oil_pos | oil_large_shock | oil_pos_x_large | GDP - Durable Goods Consumption_growth_lag1
FOCUS,GDP - Durable Goods Consumption_growth,M2_large_shock,44,3,0.03649825339227808,-0.03576437760330098,196.46865967651942,203.60541821219246,2.060092286976608,1.5902670280096793,oil_pos | oil_large_shock | GDP - Durable Goods Consumption_growth_lag1
FOCUS,GDP - Durable Goods Consumption_growth,M1_baseline,44,2,0.006156521476046839,-0.04232364820804846,195.83289848022827,201.18546738198305,2.0922781473308802,1.5640544914633987,oil_pos | GDP - Durable Goods Consumption_growth_lag1
FOCUS,GDP - Goods Consumption_growth,M5_full,44,6,0.17953634575091648,0.04648818560241652,114.84476201879806,127.3340894562259,0.7611115652026798,0.580886836970005,oil_pos | oil_large_shock | oil_pos_lag1 | oil_pos_lag2 | oil_pos_x_large | GDP - Goods Consumption_growth_lag1
FOCUS,GDP - Goods Consumption_growth,M2_large_shock,44,3,0.060191639358729065,-0.01029398768936618,114.82024231412089,121.95700084979393,0.8145885472088323,0.6250398669329631,oil_pos | oil_large_shock | GDP - Goods Consumption_growth_lag1
FOCUS,GDP - Goods Consumption_growth,M4_interaction,44,4,0.07575022763280925,-0.019044620815107827,116.08572253719888,125.00667070679017,0.8078176239119403,0.6118566035480792,oil_pos | oil_large_shock | oil_pos_x_large | GDP - Goods Consumption_growth_lag1
FOCUS,GDP - Goods Consumption_growth,M3_oil_lags,44,4,0.05853077995612199,-0.03803016568940398,116.89793189427704,125.81888006386833,0.8153080129544726,0.6352181950741163,oil_pos | oil_pos_lag1 | oil_pos_lag2 | GDP - Goods Consumption_growth_lag1
FOCUS,GDP - Goods Consumption_growth,M1_baseline,44,2,0.004620433124511547,-0.04393466769868315,115.34796117113976,120.70053007289454,0.8383261402676832,0.6305390217928656,oil_pos | GDP - Goods Consumption_growth_lag1
FOCUS,GDP - Investment_growth,M1_baseline,44,2,0.012571067118855694,-0.03559619789973678,205.788926793616,211.1414956953708,2.342901644877308,1.8615114845248948,oil_pos | GDP - Investment_growth_lag1
FOCUS,GDP - Investment_growth,M2_large_shock,44,3,0.015634457937870216,-0.05819295771678945,207.65220939614272,214.78896793181576,2.3392645230349367,1.8459649361532775,oil_pos | oil_large_shock | GDP - Investment_growth_lag1
FOCUS,GDP - Investment_growth,M3_oil_lags,44,4,0.027344128277444146,-0.07241544830948476,209.12566263480807,218.04661080439936,2.3253093585885884,1.8471492397835896,oil_pos | oil_pos_lag1 | oil_pos_lag2 | GDP - Investment_growth_lag1
FOCUS,GDP - Investment_growth,M4_interaction,44,4,0.02105671439526613,-0.0793477251539374,209.40917082029068,218.33011898988198,2.3328128508220987,1.8400561923330911,oil_pos | oil_large_shock | oil_pos_x_large | GDP - Investment_growth_lag1
FOCUS,GDP - Investment_growth,M5_full,44,6,0.038707353156792856,-0.11717794092588929,212.60859856231593,225.09792599974375,2.311686534256162,1.8289519018514717,oil_pos | oil_large_shock | oil_pos_lag1 | oil_pos_lag2 | oil_pos_x_large | GDP - Investment_growth_lag1
FOCUS,GDP - Non durable Goods_growth,M3_oil_lags,44,4,0.12949517033472757,0.04021262370239187,80.27110503828463,89.19205320787594,0.5377275559425533,0.39740468658317235,oil_pos | oil_pos_lag1 | oil_pos_lag2 | GDP - Non durable Goods_growth_lag1
FOCUS,GDP - Non durable Goods_growth,M5_full,44,6,0.16712135683211526,0.03205995523732319,82.3269490987019,94.81627653612973,0.52597798022525,0.40359302174320955,oil_pos | oil_large_shock | oil_pos_lag1 | oil_pos_lag2 | oil_pos_x_large | GDP - Non durable Goods_growth_lag1
FOCUS,GDP - Non durable Goods_growth,M1_baseline,44,2,0.0566637044825119,0.01064729982312218,79.80648456707058,85.15905346882536,0.5597704548685739,0.41055060502678375,oil_pos | GDP - Non durable Goods_growth_lag1
FOCUS,GDP - Non durable Goods_growth,M4_interaction,44,4,0.10194033449528628,0.00983165085377713,81.64228590018882,90.56323406978012,0.546171828805041,0.4035641435857427,oil_pos | oil_large_shock | oil_pos_x_large | GDP - Non durable Goods_growth_lag1
FOCUS,GDP - Non durable Goods_growth,M2_large_shock,44,3,0.07663651344552336,0.007384251953937659,80.86489005868707,88.0016485943601,0.5538128756363069,0.4119224176769991,oil_pos | oil_large_shock | GDP - Non durable Goods_growth_lag1
FOCUS,GDP - Personal Consumption_growth,M2_large_shock,44,3,0.10581282631861733,0.038748788292513714,47.91890506919394,55.055663604866986,0.3808633567196924,0.3055689206624485,oil_pos | oil_large_shock | GDP - Personal Consumption_growth_lag1
FOCUS,GDP - Personal Consumption_growth,M5_full,44,6,0.17028869585745754,0.035740916807315615,50.62606361211789,63.11539104954572,0.3668753021270524,0.2929230169215505,oil_pos | oil_large_shock | oil_pos_lag1 | oil_pos_lag2 | oil_pos_x_large | GDP - Personal Consumption_growth_lag1
