target,r_squared_is,adj_r2_is,rmse_is_AR1,mae_is_AR1,rmse_oos_AR1,mae_oos_AR1,rmse_is_VAR,mae_is_VAR,rmse_oos_VAR,mae_oos_VAR,winner_oos_rmse,pct_improvement,window
US GDP_growth,0.017860400809026733,0.010894871736750411,1.0946817740443506,0.545786763902675,3.112045002374992,1.3029605532970634,0.8864933466517704,0.5624032965867318,4.249101099000241,1.6592926616885715,AR(1),-36.54,FULL
GDP - Personal Consumption_growth,0.022092356948041014,0.015156841749091043,1.1768828680642407,0.5382789165277184,3.9905048123010753,1.6039888695120073,0.98792217587823,0.5915821808129874,5.14429201441811,1.9482107003253615,AR(1),-28.91,FULL
GDP - Goods Consumption_growth,0.00017686773253888788,-0.006914076467939401,1.3997558667970056,0.8586163380126337,2.3784418167231007,1.4068931985971873,1.1515155587025203,0.8186489076631057,3.2339076823903086,1.6931521775243954,AR(1),-35.97,FULL
GDP - Durable Goods Consumption_growth,2.3766907585098807e-05,-0.007068263114346829,2.7057093622223536,1.7174679014169967,3.974826230342143,2.436344975807391,2.2979936665390683,1.6348994411620448,4.586261449288579,2.650897981869595,AR(1),-15.38,FULL
GDP - Non durable Goods_growth,0.008144445976298376,0.001110009422938929,0.9262687109692136,0.5890199674942256,1.732779714498761,1.038735979269865,0.7668066542236057,0.5520712813925245,2.6072236425338335,1.2959855660430095,AR(1),-50.46,FULL
GDP - Service_growth,0.007716083212307323,0.0006786086251606704,1.6113929075153366,0.5596941773598687,3.4327825034636272,1.4637788125103972,1.470459518999949,0.68334043345273,6.489271186211254,2.252416573932005,AR(1),-89.04,FULL
GDP - Investment_growth,0.015071873754627374,0.008086567894731167,3.428072601648831,2.276483456380602,5.742355534960433,3.102396135250171,2.6900144768968137,2.07560519139671,8.42421061210632,4.450835092348718,AR(1),-46.7,FULL
