target,r_squared_is,adj_r2_is,rmse_is_AR1,mae_is_AR1,rmse_oos_AR1,mae_oos_AR1,rmse_is_VAR,mae_is_VAR,rmse_oos_VAR,mae_oos_VAR,winner_oos_rmse,pct_improvement,window
US GDP_growth,0.04149301783499593,0.018114798757800643,0.48508105574435817,0.35629636176706886,0.2327653393357602,0.18366519249966645,0.3322984720997649,0.2629160248284258,0.22765835470085702,0.18016679413814246,VAR,2.19,FOCUS
GDP - Personal Consumption_growth,0.041105977913470926,0.01771831883818975,0.3982713252542721,0.3151184626933386,0.26301640153468075,0.23137577404242624,0.3461707852738458,0.26277570441827325,0.3487218959335394,0.2273405359734652,AR(1),-32.59,FOCUS
GDP - Goods Consumption_growth,0.002260951000422007,-0.022074147755665185,0.8388725893385706,0.6388586458158961,0.4130633551141947,0.32012224909879944,0.7905295865313321,0.582326243982063,0.6601944007688261,0.45463058680248025,AR(1),-59.83,FOCUS
GDP - Durable Goods Consumption_growth,0.059842662368904675,0.03691199559741454,2.0374044455740945,1.5854200141218242,0.95074308571159,0.6331855188811633,1.9117207647556014,1.4186169002661821,1.975582522554352,1.1908564587908588,AR(1),-107.79,FOCUS
GDP - Non durable Goods_growth,0.0735525538210583,0.050956274645962085,0.5599666580887918,0.4274663355716638,0.2474937191567192,0.21482613641648893,0.4554855245090609,0.3680320310054224,0.29969196040450996,0.2631938646060156,AR(1),-21.09,FOCUS
GDP - Service_growth,0.36511400079498546,0.3496289764241315,0.24725514088613854,0.21093765160302916,0.24141976514923505,0.21274359980772053,0.21539573865219191,0.17352523548908388,0.2433329746170532,0.192522307265858,AR(1),-0.79,FOCUS
GDP - Investment_growth,0.006454441856021176,-0.017778376635295468,2.3772486525515877,1.8884202647981985,1.6924148821753735,1.3334643915319648,1.6063282398830703,1.2337046552376356,1.562328012308346,1.2851490840591109,VAR,7.69,FOCUS
