variable,coef,std_err,p_value
const,0.038645047061772214,0.011047826888439775,0.00046880112902388503
brent_pos_ret,0.002786353945591159,0.0008060343860253065,0.0005464938037813513
oil_large_pos_shock,-0.02324693246314613,0.0058698118966927434,7.481741318860417e-05
spx_vol,0.012699830296361073,0.0006876387248060238,3.684930978759148e-76
us10y_vol,0.06079909105960809,0.022729872563402382,0.007476179533261498
gold_vol,0.00504204870701156,0.000956936666021264,1.3720846763598266e-07
ar.L1,1.197223154252027,0.003908822060421968,0.0
ar.L2,-0.20276595578558754,0.0029469874993996122,0.0
ma.L1,-0.9588823641768858,0.003141429593077095,0.0
sigma2,0.007961031515460336,2.016633275942968e-05,0.0
