variable,coef,std_err,p_value
const,0.02592976804209395,0.020935747873662643,0.2155157783314383
brent_pos_ret,0.0006658445823595055,0.0046030455783736424,0.8849848098054401
oil_large_pos_shock,0.04378192600473457,0.027450614725187023,0.11072693639262045
msci_vol,0.9469226937701707,0.00372196339604135,0.0
hy_vol,-0.07569714235194913,0.025251114965060124,0.0027195903880902726
us10y_vol,2.303028873112479,0.09201882533019351,3.046386053342428e-138
ar.L1,0.5684467746922384,0.10072591968293931,1.6662707530750283e-08
ar.L2,0.4152062965367341,0.1000446044896421,3.3216778869525694e-05
ma.L1,-0.6679777928024615,0.10552104530300878,2.447162558063533e-10
ma.L2,-0.3945341996031396,0.10861663829221761,0.0002808462880509338
sigma2,0.17778094864010577,0.001909200111127327,0.0
