frequency,dependent_variable,best_model_name,best_r_squared,best_adj_r_squared,aic,bic,n_obs
monthly,Industrial production_growth_t1,m5_full_macro,0.1316103734907078,0.1133559368974193,1013.5871818946389,1044.2422417129071,341
monthly,Manufacturing ISM_chg_t1,m5_full_macro,0.07575382768160632,0.05915060302918007,1340.7096395406215,1367.532816881606,341
monthly,Manufacturing ISM - Price Paid_chg_t1,m5_full_macro,0.05011687658215247,0.035939516531139803,1348.0395675270079,1371.030862390709,341
monthly,US Retail Sales_growth_t1,m5_full_macro,0.03995475804189963,0.022708436330077464,1312.8306524014781,1339.6538297424627,341
quarterly,GDP - Personal Consumption_growth_t1,q4_with_gdp,0.0365808639073002,0.008451838035980486,458.0136620988038,472.79279738681015,142
quarterly,US GDP_growth_t1,q4_full,0.02090752939160123,-0.007679112086016238,439.1744399001816,453.9535751881879,142
quarterly,GDP - Investment_growth_t1,q4_with_gdp,0.01858124511478021,-0.010073317071649601,763.2988309136108,778.0779662016171,142
