target,model,variable,coef,std_err,t_stat,p_value
S&P500_ret,baseline_oil_lags,const,0.038391783425664065,0.02294181028406391,1.673441762018762,0.09424036232423322
S&P500_ret,baseline_oil_lags,oil_pos_lag1,-0.02228909118039183,0.01621644685896601,-1.3744744070164965,0.16929445030752588
S&P500_ret,baseline_oil_lags,oil_pos_lag2,0.025051849402794143,0.016727614712642364,1.497634291149742,0.13422829237955602
S&P500_ret,baseline_oil_smoothed,const,0.033980795865244794,0.028796278499729662,1.1800412287846085,0.23798381753984355
S&P500_ret,baseline_oil_smoothed,oil_pos_ma3_lag1,-0.03385565757860324,0.04710071948769805,-0.7187927901493265,0.4722686006469322
S&P500_ret,baseline_oil_smoothed,oil_pos_ma5_lag1,0.04292693398007138,0.052074393734163574,0.824338622149124,0.4097471792274695
S&P500_ret,baseline_oil_soft_bigshock,const,0.05585506559264475,0.0220942670808845,2.5280343261971963,0.011470313680234323
S&P500_ret,baseline_oil_soft_bigshock,oil_pos_lag1,-0.034766399059034836,0.033682208149359724,-1.0321888311142606,0.3019836661917148
S&P500_ret,baseline_oil_soft_bigshock,oil_large_pos_lag1,0.23474658220258543,0.16252787469334548,1.4443465937489237,0.1486415054281975
S&P500_ret,baseline_oil_soft_bigshock,oil_pos_x_large_lag1,-0.0361549862255676,0.05119599521364904,-0.7062073131831326,0.4800592231220562
US 10-year Rate_chg,baseline_oil_lags,const,-0.0013128648595337022,0.0011804305972647963,-1.112191485527207,0.26605582800777117
US 10-year Rate_chg,baseline_oil_lags,oil_pos_lag1,-7.029099145820428e-05,0.0008836593524276415,-0.07954534885541209,0.936598862690677
US 10-year Rate_chg,baseline_oil_lags,oil_pos_lag2,0.0009585072853796311,0.0008178632091484417,1.171965280572564,0.2412109957893963
US 10-year Rate_chg,baseline_oil_smoothed,const,-0.0020233701883648047,0.0014837445285606455,-1.3636917605537124,0.17266459834309844
US 10-year Rate_chg,baseline_oil_smoothed,oil_pos_ma3_lag1,0.0027156958039772825,0.002347012405550811,1.1570862589198572,0.2472371201398682
US 10-year Rate_chg,baseline_oil_smoothed,oil_pos_ma5_lag1,-0.0007514907414616071,0.0031652229795978526,-0.23742110628714233,0.8123301173190427
US 10-year Rate_chg,baseline_oil_soft_bigshock,const,-0.00013481911843773968,0.00115575106836833,-0.11665065439054713,0.907136895297676
US 10-year Rate_chg,baseline_oil_soft_bigshock,oil_pos_lag1,-0.002651428424144933,0.0016883863578551041,-1.5703919969557563,0.11632394318270724
US 10-year Rate_chg,baseline_oil_soft_bigshock,oil_large_pos_lag1,0.016932827385005216,0.008162590186735548,2.074442915500225,0.03803819514716939
US 10-year Rate_chg,baseline_oil_soft_bigshock,oil_pos_x_large_lag1,-0.0005333699159098436,0.0023865185661704745,-0.22349288351262037,0.8231519212059334
High yield index_chg,baseline_oil_lags,const,0.007000891530420991,0.0022139411357959137,3.1621850361004133,0.0015659002875468228
High yield index_chg,baseline_oil_lags,oil_pos_lag1,-0.007781798352721713,0.0014040902151719122,-5.54223529844123,2.986346389653855e-08
High yield index_chg,baseline_oil_lags,oil_pos_lag2,-0.005077570945475515,0.0010692863674842963,-4.7485604416911125,2.0486966394111275e-06
High yield index_chg,baseline_oil_smoothed,const,0.009180655409013984,0.0027260813533189253,3.367711458000621,0.0007579487671456752
High yield index_chg,baseline_oil_smoothed,oil_pos_ma3_lag1,-0.010448839146117196,0.0036661227723509653,-2.850106173453841,0.004370463719857702
High yield index_chg,baseline_oil_smoothed,oil_pos_ma5_lag1,-0.00552122650814405,0.004474308795179828,-1.2339842332947752,0.21720877944731243
High yield index_chg,baseline_oil_soft_bigshock,const,0.005683050621189785,0.002060004862981921,2.758755924956115,0.005802185285865534
High yield index_chg,baseline_oil_soft_bigshock,oil_pos_lag1,-0.012964320965735888,0.002639463075943255,-4.911726587083579,9.027788112866455e-07
High yield index_chg,baseline_oil_soft_bigshock,oil_large_pos_lag1,-0.026286759396067245,0.009841764756358182,-2.670939617723023,0.007563925197675181
High yield index_chg,baseline_oil_soft_bigshock,oil_pos_x_large_lag1,0.012058061984421815,0.0033119079951255755,3.6408203374516197,0.0002717707391432162
Gold_ret,baseline_oil_lags,const,0.013581843205758603,0.024258772278014103,0.5598734779363885,0.5755657403890891
Gold_ret,baseline_oil_lags,oil_pos_lag1,0.007957359224309518,0.014882861629724704,0.5346659414219596,0.5928808767221209
Gold_ret,baseline_oil_lags,oil_pos_lag2,-0.010960267516351594,0.015503835329640841,-0.7069391078604482,0.4796043194146804
Gold_ret,baseline_oil_smoothed,const,0.0068475871664227285,0.028908177266601852,0.23687370889114728,0.8127547668640033
Gold_ret,baseline_oil_smoothed,oil_pos_ma3_lag1,-0.039489720952466376,0.0489048471635522,-0.8074807149565589,0.419389580879336
Gold_ret,baseline_oil_smoothed,oil_pos_ma5_lag1,0.046176248084450346,0.06104551968043956,0.7564232121566543,0.4493954952516477
Gold_ret,baseline_oil_soft_bigshock,const,-0.0006686834943027732,0.023560761256749874,-0.02838123467301819,0.9773580907341686
Gold_ret,baseline_oil_soft_bigshock,oil_pos_lag1,0.04331442152132525,0.030767059769194822,1.4078180315654776,0.15918495961860135
Gold_ret,baseline_oil_soft_bigshock,oil_large_pos_lag1,-0.2058140347436217,0.16205987011500478,-1.2699876570156885,0.2040890268498814
Gold_ret,baseline_oil_soft_bigshock,oil_pos_x_large_lag1,0.001120377907619847,0.04979027186506764,0.022501943967208844,0.9820475613320623
