dependent_variable,best_model_name,best_pseudo_r_squared,aic,bic,n_obs
spx_vol,"spx_cross_asset_arma(2,2)",0.7268571499510891,11348.548421969248,11427.225915064399,9441
us10y_vol,"us10y_cross_asset_arma(2,2)",0.5200727404843943,-41378.38899137669,-41299.71149828154,9441
hy_vol,"hy_cross_asset_arma(2,1)",0.17124514750888276,-19140.895557496424,-19069.369504283175,9441
gold_vol,"gold_cross_asset_arma(2,1)",0.16819867473997396,19101.180247179014,19172.706300392263,9441
