dependent_variable,model_name,n_obs,r_squared,adj_r_squared,aic,bic,n_regressors,regressors
gold_vol_t1,gold_m6_cross_asset,9439,0.04456452393419008,0.043956740552468676,20403.643457951664,20453.71169520094,6,brent_pos_ret | oil_large_pos_shock | gold_vol_lag1 | spx_vol | us10y_vol | msci_vol
gold_vol_t1,gold_m4_smoothed_large,9436,0.03191746204706414,0.031609547753822076,20513.535418605432,20542.14456836754,3,brent_pos_ma5 | oil_large_pos_shock | gold_vol_lag1
gold_vol_t1,gold_m3_smoothed,9438,0.030972347559017233,0.03076693629193905,20527.632196637318,20549.089694754177,2,brent_pos_ma3 | gold_vol_lag1
gold_vol_t1,gold_m5_interaction,9439,0.029732098839213905,0.029320706894689463,20545.051136870366,20580.814163476993,4,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large | gold_vol_lag1
gold_vol_t1,gold_m2_large_shock,9439,0.02972939978321254,0.029420887668676232,20543.077393901163,20571.687815186462,3,brent_pos_ret | oil_large_pos_shock | gold_vol_lag1
gold_vol_t1,gold_m1_baseline,9439,0.029404931271361345,0.02919920955268218,20544.233365343083,20565.69118130706,2,brent_pos_ret | gold_vol_lag1
