dependent_variable,model_name,n_obs,r_squared,adj_r_squared,aic,bic,n_regressors,regressors
us10y_vol_t1,us10y_m6_cross_asset,9439,0.04055207944799821,0.03994174362067493,-34852.348429685815,-34802.28019243654,6,brent_pos_ret | oil_large_pos_shock | us10y_vol_lag1 | us2y_vol | spx_vol | hy_vol
us10y_vol_t1,us10y_m4_smoothed_large,9436,0.01843884169949772,0.018126640313269826,-34631.18593244754,-34602.57678268543,3,brent_pos_ma5 | oil_large_pos_shock | us10y_vol_lag1
us10y_vol_t1,us10y_m5_interaction,9439,0.01694469190562009,0.0165278781222431,-34626.911382515806,-34591.14835590918,4,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large | us10y_vol_lag1
us10y_vol_t1,us10y_m2_large_shock,9439,0.01694366988012197,0.01663109235067206,-34628.90156934092,-34600.291148055614,3,brent_pos_ret | oil_large_pos_shock | us10y_vol_lag1
us10y_vol_t1,us10y_m3_smoothed,9438,0.01661436811170336,0.016405913287773632,-34624.19790971742,-34602.74041160056,2,brent_pos_ma3 | us10y_vol_lag1
us10y_vol_t1,us10y_m1_baseline,9439,0.016115061374235018,0.015906522811575896,-34622.94888028607,-34601.4910643221,2,brent_pos_ret | us10y_vol_lag1
