window,target,model,variable,coef,std_err,t_stat,p_value,sig
FULL,US GDP_growth,M1_baseline,const,0.5525336818120911,0.1233768484958974,4.478422723129163,7.5196581926689215e-06,***
FULL,US GDP_growth,M1_baseline,oil_pos,0.010276588386711869,0.01907659907304665,0.5387012825169488,0.5900929886471156,
FULL,US GDP_growth,M1_baseline,US GDP_growth_lag1,-0.014987873859877782,0.10134163642065595,-0.14789453169736738,0.8824260038229267,
FULL,US GDP_growth,M2_large_shock,const,0.5714468544098159,0.12374728775812459,4.617853568853656,3.877296888839428e-06,***
FULL,US GDP_growth,M2_large_shock,oil_pos,0.0028134931224826298,0.01473768792219257,0.19090464782104424,0.8486002987107378,
FULL,US GDP_growth,M2_large_shock,oil_large_shock,0.5044000976977276,0.665963062482271,0.7573995107441197,0.44881054915807117,
FULL,US GDP_growth,M2_large_shock,US GDP_growth_lag1,-0.004323070929294772,0.09198533848064833,-0.04699739111363112,0.9625153068225915,
FULL,US GDP_growth,M3_oil_lags,const,0.5856166591547415,0.14463372282184456,4.048963462525862,5.144497473525998e-05,***
FULL,US GDP_growth,M3_oil_lags,oil_pos,0.00924326499627543,0.018697292687971604,0.4943638178281197,0.6210492622390951,
FULL,US GDP_growth,M3_oil_lags,oil_pos_lag1,-0.006573661996811823,0.006367986520609976,-1.0322983529465992,0.30193237242992643,
FULL,US GDP_growth,M3_oil_lags,oil_pos_lag2,0.004376139630105133,0.00674288630919253,0.649000951438136,0.5163377612253348,
FULL,US GDP_growth,M3_oil_lags,US GDP_growth_lag1,-0.030847696556004615,0.11113657759542049,-0.2775656514122829,0.7813458025744965,
FULL,US GDP_growth,M4_interaction,const,0.5483761351271499,0.12038781110858308,4.555080203531114,5.236559454111476e-06,***
FULL,US GDP_growth,M4_interaction,oil_pos,0.008111688682121478,0.010213416068272878,0.7942189594448972,0.4270679729224499,
FULL,US GDP_growth,M4_interaction,oil_large_shock,1.1352537564211664,1.2355754789194375,0.9188056705479404,0.358197225944237,
FULL,US GDP_growth,M4_interaction,oil_pos_x_large,-0.02050414143038003,0.03387623614149989,-0.6052662209796544,0.5450021218666332,
FULL,US GDP_growth,M4_interaction,US GDP_growth_lag1,-0.01216006784589917,0.08800228562355163,-0.13817900023547605,0.890098951263557,
FULL,US GDP_growth,M5_full,const,0.592303246082585,0.14124092341206446,4.193566791931579,2.7460217231156536e-05,***
FULL,US GDP_growth,M5_full,oil_pos,0.007411842808406213,0.010243693413478711,0.7235518000425185,0.4693409417398088,
FULL,US GDP_growth,M5_full,oil_large_shock,1.074325308490878,1.2245777417943164,0.8773026585610803,0.3803222686085098,
FULL,US GDP_growth,M5_full,oil_pos_lag1,-0.0066887589742898,0.006386224826728868,-1.0473729246572572,0.29492761416360813,
FULL,US GDP_growth,M5_full,oil_pos_lag2,0.002777522456006578,0.006304327648840204,0.4405739375740653,0.659521474194866,
FULL,US GDP_growth,M5_full,oil_pos_x_large,-0.019645497901537384,0.03371267997417098,-0.5827332005817636,0.5600729194215406,
FULL,US GDP_growth,M5_full,US GDP_growth_lag1,-0.026924593821074636,0.09829037561052703,-0.2739290968605371,0.7841391104520232,
FULL,GDP - Personal Consumption_growth,M1_baseline,const,0.556379466863099,0.12858551286822886,4.326921862754962,1.5120757076783852e-05,***
FULL,GDP - Personal Consumption_growth,M1_baseline,oil_pos,0.01746904840588431,0.021818914654379233,0.8006378265189341,0.42334134554895364,
FULL,GDP - Personal Consumption_growth,M1_baseline,GDP - Personal Consumption_growth_lag1,-0.005350589391277543,0.12417126445715423,-0.04309039949515682,0.9656294722855459,
FULL,GDP - Personal Consumption_growth,M2_large_shock,const,0.582468521560618,0.1314789501157176,4.430127568313972,9.417736103097867e-06,***
FULL,GDP - Personal Consumption_growth,M2_large_shock,oil_pos,0.007109428219302884,0.017408700170296575,0.4083836328822112,0.6829920476424935,
FULL,GDP - Personal Consumption_growth,M2_large_shock,oil_large_shock,0.6990222883078174,0.7307348482770536,0.9566018234329334,0.33876826812996974,
FULL,GDP - Personal Consumption_growth,M2_large_shock,GDP - Personal Consumption_growth_lag1,0.00840237983725691,0.11379574863227226,0.07383737914857401,0.9411397839299377,
FULL,GDP - Personal Consumption_growth,M3_oil_lags,const,0.5742170034714879,0.16144767906780427,3.556675492562083,0.0003755776185127844,***
FULL,GDP - Personal Consumption_growth,M3_oil_lags,oil_pos,0.016718031210763134,0.021398193783056782,0.781282354027496,0.4346364462641913,
FULL,GDP - Personal Consumption_growth,M3_oil_lags,oil_pos_lag1,-0.004726602197353767,0.006420192768255354,-0.7362087663044097,0.461603658134075,
FULL,GDP - Personal Consumption_growth,M3_oil_lags,oil_pos_lag2,0.0044985253203446846,0.007194478238597384,0.625274713628393,0.5317907729964937,
FULL,GDP - Personal Consumption_growth,M3_oil_lags,GDP - Personal Consumption_growth_lag1,-0.02129382991823892,0.1362168869540087,-0.1563229816390417,0.875778442294188,
FULL,GDP - Personal Consumption_growth,M4_interaction,const,0.5528531589314788,0.1254904671159323,4.405539095019341,1.0552111783257433e-05,***
FULL,GDP - Personal Consumption_growth,M4_interaction,oil_pos,0.014246950887013119,0.012313873242536449,1.1569837212388332,0.24727901126585206,
FULL,GDP - Personal Consumption_growth,M4_interaction,oil_large_shock,1.5398585012962474,1.3807768905029645,1.1152116695227536,0.2647597265346662,
FULL,GDP - Personal Consumption_growth,M4_interaction,oil_pos_x_large,-0.027399395934947786,0.037751803922414034,-0.7257771308427514,0.4679754087318152,
FULL,GDP - Personal Consumption_growth,M4_interaction,GDP - Personal Consumption_growth_lag1,-0.0033232011569476754,0.10820143303856242,-0.030713097448194646,0.9754983458375396,
FULL,GDP - Personal Consumption_growth,M5_full,const,0.5850432349715095,0.1642222198922304,3.5625096004392076,0.00036732647093115005,***
FULL,GDP - Personal Consumption_growth,M5_full,oil_pos,0.013884400953872339,0.012695919634501939,1.0936112824895827,0.27412549881653936,
FULL,GDP - Personal Consumption_growth,M5_full,oil_large_shock,1.4955855352974785,1.3601114175216744,1.0996051617761273,0.2715041919858001,
FULL,GDP - Personal Consumption_growth,M5_full,oil_pos_lag1,-0.0048839769087574555,0.006417752501601845,-0.7610104795313367,0.4466508079502115,
FULL,GDP - Personal Consumption_growth,M5_full,oil_pos_lag2,0.0022354172744185183,0.0065931097198349605,0.33905355278608584,0.7345693876071697,
FULL,GDP - Personal Consumption_growth,M5_full,oil_pos_x_large,-0.026950670464035837,0.037511238683286194,-0.7184692217600426,0.4724680187975918,
FULL,GDP - Personal Consumption_growth,M5_full,GDP - Personal Consumption_growth_lag1,-0.01650540559340614,0.12053388874715763,-0.13693580921486168,0.8910815337748396,
FULL,GDP - Goods Consumption_growth,M1_baseline,const,0.583399512723692,0.13396879239014534,4.354741894102544,1.3322379613584037e-05,***
FULL,GDP - Goods Consumption_growth,M1_baseline,oil_pos,0.011636365920910363,0.024809556244389696,0.46902757172618714,0.6390499282576901,
FULL,GDP - Goods Consumption_growth,M1_baseline,GDP - Goods Consumption_growth_lag1,0.1745035278690655,0.10329971365564458,1.6892934326108866,0.091163211316131,*
FULL,GDP - Goods Consumption_growth,M2_large_shock,const,0.6278063015509615,0.1366591950481725,4.593955798800506,4.349215406433756e-06,***
FULL,GDP - Goods Consumption_growth,M2_large_shock,oil_pos,-0.006317080573155078,0.018336304165777396,-0.3445122046429172,0.7304611191928017,
FULL,GDP - Goods Consumption_growth,M2_large_shock,oil_large_shock,1.2053995345201811,1.0884660192299143,1.107429642473356,0.2681082158404928,
FULL,GDP - Goods Consumption_growth,M2_large_shock,GDP - Goods Consumption_growth_lag1,0.19625917037472893,0.09357356462225203,2.0973783692756536,0.03596009434374625,**
FULL,GDP - Goods Consumption_growth,M3_oil_lags,const,0.804553062570115,0.17560022116846716,4.581731487674174,4.611417634004087e-06,***
FULL,GDP - Goods Consumption_growth,M3_oil_lags,oil_pos,0.00973632918721038,0.025054816135277266,0.38860110306303924,0.6975712506661305,
FULL,GDP - Goods Consumption_growth,M3_oil_lags,oil_pos_lag1,-0.017123452150982967,0.008605113623823567,-1.9899158685802907,0.04660020400877016,**
FULL,GDP - Goods Consumption_growth,M3_oil_lags,oil_pos_lag2,-0.011145210845770723,0.008030555641235589,-1.3878505228880913,0.16518256656443586,
FULL,GDP - Goods Consumption_growth,M3_oil_lags,GDP - Goods Consumption_growth_lag1,0.17111341333538077,0.10673229848093173,1.603201802741567,0.10889010761521138,
FULL,GDP - Goods Consumption_growth,M4_interaction,const,0.6140351847259873,0.13047227163174782,4.706250431962082,2.523145349280161e-06,***
FULL,GDP - Goods Consumption_growth,M4_interaction,oil_pos,-0.0023550395873310303,0.013343704659861854,-0.1764906858599051,0.8599084654369606,
FULL,GDP - Goods Consumption_growth,M4_interaction,oil_large_shock,1.6507310493395975,1.847476969601816,0.8935056168496526,0.37158646553951813,
FULL,GDP - Goods Consumption_growth,M4_interaction,oil_pos_x_large,-0.014682442879790028,0.05098085737924236,-0.2879991360397993,0.7733474000040697,
FULL,GDP - Goods Consumption_growth,M4_interaction,GDP - Goods Consumption_growth_lag1,0.18737345305310507,0.08915770445912435,2.1015957531635325,0.03558870219993435,**
FULL,GDP - Goods Consumption_growth,M5_full,const,0.8630662287775926,0.1762692958536307,4.896293620496786,9.766111104383696e-07,***
FULL,GDP - Goods Consumption_growth,M5_full,oil_pos,-0.005440410542613241,0.01380577116280367,-0.39406784876103984,0.6935309473806406,
FULL,GDP - Goods Consumption_growth,M5_full,oil_large_shock,1.9253812850982341,1.842415618703072,1.045030917862911,0.2960086801785521,
FULL,GDP - Goods Consumption_growth,M5_full,oil_pos_lag1,-0.017549135683802904,0.00852713603379914,-2.0580339769698908,0.03958687194144578,**
FULL,GDP - Goods Consumption_growth,M5_full,oil_pos_lag2,-0.01465800903922681,0.00844592141953777,-1.7355133100479423,0.08264992603460469,*
FULL,GDP - Goods Consumption_growth,M5_full,oil_pos_x_large,-0.01862767241160963,0.05001058461875202,-0.37247459819985745,0.7095395213206699,
FULL,GDP - Goods Consumption_growth,M5_full,GDP - Goods Consumption_growth_lag1,0.187210778149829,0.09342306592160797,2.0039031721236706,0.04508043369512884,**
FULL,GDP - Durable Goods Consumption_growth,M1_baseline,const,1.025359870239384,0.25453822435307216,4.028313911772632,5.617830140269207e-05,***
FULL,GDP - Durable Goods Consumption_growth,M1_baseline,oil_pos,0.019079565200801476,0.042308145399498044,0.4509667115077051,0.6520135411511445,
FULL,GDP - Durable Goods Consumption_growth,M1_baseline,GDP - Durable Goods Consumption_growth_lag1,0.059645305404856234,0.12782126788018033,0.46663052553013123,0.640764243420151,
FULL,GDP - Durable Goods Consumption_growth,M2_large_shock,const,1.1227411884224108,0.2690523301596871,4.172947276673073,3.0068454088491147e-05,***
FULL,GDP - Durable Goods Consumption_growth,M2_large_shock,oil_pos,-0.017856837597519954,0.03322670164900213,-0.5374243217444437,0.5909745467793828,
FULL,GDP - Durable Goods Consumption_growth,M2_large_shock,oil_large_shock,2.4936581107499687,1.9135255628111054,1.3031747049600986,0.19251512380514757,
FULL,GDP - Durable Goods Consumption_growth,M2_large_shock,GDP - Durable Goods Consumption_growth_lag1,0.0834284429682247,0.11596019353550074,0.7194576037222931,0.4718590155150387,
FULL,GDP - Durable Goods Consumption_growth,M3_oil_lags,const,1.557008823026703,0.34647701013886345,4.493830117047807,6.995344184121001e-06,***
FULL,GDP - Durable Goods Consumption_growth,M3_oil_lags,oil_pos,0.014834878336987564,0.04284433650487926,0.34625062603777557,0.7291543708995339,
FULL,GDP - Durable Goods Consumption_growth,M3_oil_lags,oil_pos_lag1,-0.039255799805696975,0.019875574965212455,-1.9750774442704209,0.04825936008763653,**
FULL,GDP - Durable Goods Consumption_growth,M3_oil_lags,oil_pos_lag2,-0.029556389305936,0.01737737172832189,-1.7008549835971207,0.08897022151739191,*
FULL,GDP - Durable Goods Consumption_growth,M3_oil_lags,GDP - Durable Goods Consumption_growth_lag1,0.05748700772834251,0.13237590000636368,0.4342709490592997,0.6640916971945625,
FULL,GDP - Durable Goods Consumption_growth,M4_interaction,const,1.0994504292860785,0.2677108754175709,4.1068575476105496,4.010784114750484e-05,***
