window,target,model,variable,coef,std_err,t_stat,p_value,sig
FOCUS,GDP - Service_growth,M1_baseline,const,0.4345451773313637,0.11154874540774516,3.895563107796208,9.797084821725568e-05,***
FOCUS,GDP - Service_growth,M1_baseline,oil_pos,0.006822862938395383,0.0034098248787654177,2.000942330172015,0.04539860510412524,**
FOCUS,GDP - Service_growth,M1_baseline,GDP - Service_growth_lag1,0.38063006091799517,0.13896175642464395,2.739099380370907,0.006160774756580402,***
FOCUS,GDP - Service_growth,M2_large_shock,const,0.4532695613559241,0.11203766684371762,4.045689044811992,5.216944537113707e-05,***
FOCUS,GDP - Service_growth,M2_large_shock,oil_pos,0.0037709382788354067,0.004863277274914846,0.7753903521574212,0.43810903432177584,
FOCUS,GDP - Service_growth,M2_large_shock,oil_large_shock,0.16991151675261004,0.1610195335177196,1.0552230095357462,0.29132334308120544,
FOCUS,GDP - Service_growth,M2_large_shock,GDP - Service_growth_lag1,0.3695968904731652,0.13733490840597226,2.6912086283307457,0.00711936575609064,***
FOCUS,GDP - Service_growth,M3_oil_lags,const,0.41253145089395404,0.12115446080652632,3.4050042247534966,0.0006616303020445012,***
FOCUS,GDP - Service_growth,M3_oil_lags,oil_pos,0.006910948692346067,0.003387210593942241,2.040306765899278,0.04131978135359293,**
FOCUS,GDP - Service_growth,M3_oil_lags,oil_pos_lag1,0.003941692335372646,0.005242003668910785,0.7519438337576889,0.45208483624648954,
FOCUS,GDP - Service_growth,M3_oil_lags,oil_pos_lag2,0.0011314137349105607,0.005056011889117817,0.22377592452773526,0.8229316643730307,
FOCUS,GDP - Service_growth,M3_oil_lags,GDP - Service_growth_lag1,0.3627450491588055,0.1327903944378051,2.731711511924938,0.006300628396537835,***
FOCUS,GDP - Service_growth,M4_interaction,const,0.457872662781923,0.1122068626900649,4.080611932325814,4.491729263594686e-05,***
FOCUS,GDP - Service_growth,M4_interaction,oil_pos,0.004009957888234222,0.004923963604350731,0.8143760211166247,0.4154295711844447,
FOCUS,GDP - Service_growth,M4_interaction,oil_large_shock,0.6929411473067622,0.7161519009026109,0.967589622304158,0.33324936215946066,
FOCUS,GDP - Service_growth,M4_interaction,oil_pos_x_large,-0.0165739866049624,0.020592008370675045,-0.8048747021958923,0.42089198815886997,
FOCUS,GDP - Service_growth,M4_interaction,GDP - Service_growth_lag1,0.3621594394871162,0.13818884021824338,2.6207575004982546,0.008773464483083292,***
FOCUS,GDP - Service_growth,M5_full,const,0.4355231098279422,0.129827835125152,3.3546204433595053,0.0007947394735598309,***
FOCUS,GDP - Service_growth,M5_full,oil_pos,0.004466276589798163,0.004744681798115728,0.9413226808111498,0.3465395231516587,
FOCUS,GDP - Service_growth,M5_full,oil_large_shock,0.6468767658936129,1.0316748210075244,0.6270161418322479,0.5306486542287915,
FOCUS,GDP - Service_growth,M5_full,oil_pos_lag1,0.0036018401110413448,0.005355214149624268,0.6725856353091045,0.5012109429182164,
FOCUS,GDP - Service_growth,M5_full,oil_pos_lag2,-0.0006625901793702402,0.006136466790977358,-0.1079758437452098,0.9140148540600412,
FOCUS,GDP - Service_growth,M5_full,oil_pos_x_large,-0.0148548342551898,0.02871663616437102,-0.5172901927009237,0.6049535991947075,
FOCUS,GDP - Service_growth,M5_full,GDP - Service_growth_lag1,0.3590543843725188,0.1330663625957442,2.6983106576928577,0.0069692370618170225,***
FOCUS,GDP - Investment_growth,M1_baseline,const,1.4067353119007764,0.6157874179052869,2.284449586004928,0.022345122220964634,**
FOCUS,GDP - Investment_growth,M1_baseline,oil_pos,-0.022188107714009055,0.030504054923290003,-0.727382237207694,0.4669918327588264,
FOCUS,GDP - Investment_growth,M1_baseline,GDP - Investment_growth_lag1,0.06316364770754541,0.13839882935368553,0.45638859810098087,0.6481105633435922,
FOCUS,GDP - Investment_growth,M2_large_shock,const,1.3602181820930135,0.6376849712352481,2.1330566713186907,0.03292007757296369,**
FOCUS,GDP - Investment_growth,M2_large_shock,oil_pos,-0.009380128707597586,0.03772450975735929,-0.24864812738269482,0.8036329770784744,
FOCUS,GDP - Investment_growth,M2_large_shock,oil_large_shock,-0.7168389064010596,1.3071703853921184,-0.5483898001453161,0.5834242785755751,
FOCUS,GDP - Investment_growth,M2_large_shock,GDP - Investment_growth_lag1,0.06674914198127282,0.13800519859233976,0.48367121428842946,0.6286192254055227,
FOCUS,GDP - Investment_growth,M3_oil_lags,const,1.171680284802584,0.6546304483185443,1.7898346888876184,0.0734804907801317,*
FOCUS,GDP - Investment_growth,M3_oil_lags,oil_pos,-0.029311592233338277,0.034994990905559,-0.8375939377278733,0.4022587987457741,
FOCUS,GDP - Investment_growth,M3_oil_lags,oil_pos_lag1,0.013875564073997945,0.026659252545391712,0.5204783611383155,0.602730206020581,
FOCUS,GDP - Investment_growth,M3_oil_lags,oil_pos_lag2,0.02824758836126571,0.04052708580279431,0.6970051707818099,0.4857995578472215,
FOCUS,GDP - Investment_growth,M3_oil_lags,GDP - Investment_growth_lag1,0.060094891528207475,0.1407753198212952,0.4268851358639703,0.6694629925215487,
FOCUS,GDP - Investment_growth,M4_interaction,const,1.3302809849782606,0.644822606010452,2.0630185303346793,0.0391108676503698,**
FOCUS,GDP - Investment_growth,M4_interaction,oil_pos,-0.005995528859518335,0.038977445930028276,-0.15382046505256958,0.8777512970987739,
FOCUS,GDP - Investment_growth,M4_interaction,oil_large_shock,5.392679230501064,6.811664615759191,0.791683022388504,0.42854552412878655,
FOCUS,GDP - Investment_growth,M4_interaction,oil_pos_x_large,-0.19434224349095358,0.19763832189189756,-0.9833226756360194,0.3254486533309717,
FOCUS,GDP - Investment_growth,M4_interaction,GDP - Investment_growth_lag1,0.07596177237277014,0.13918579241664306,0.5457580910656731,0.5852322346552656,
FOCUS,GDP - Investment_growth,M5_full,const,1.022524729816659,0.6885150173225516,1.4851160891057698,0.13751307478304647,
FOCUS,GDP - Investment_growth,M5_full,oil_pos,-0.005672886207932357,0.03890617570425671,-0.1458094018557493,0.8840718536244553,
FOCUS,GDP - Investment_growth,M5_full,oil_large_shock,-0.12180609094883632,9.801169773522776,-0.012427709524825043,0.9900843776859362,
FOCUS,GDP - Investment_growth,M5_full,oil_pos_lag1,0.013741066433221268,0.026592511509246266,0.5167269149603817,0.6053468047608781,
FOCUS,GDP - Investment_growth,M5_full,oil_pos_lag2,0.03774434065910697,0.050456698204874716,0.7480541137640359,0.4544275179848538,
FOCUS,GDP - Investment_growth,M5_full,oil_pos_x_large,-0.04215858027760887,0.27996665910541196,-0.1505842889018277,0.8803036556959557,
FOCUS,GDP - Investment_growth,M5_full,GDP - Investment_growth_lag1,0.07395144835949159,0.13876312121678605,0.532933013548745,0.5940799512195183,
