target,model,p,q,n_obs,aic,bic,rmse,mae,ar1_pvalue,ma1_pvalue
Gold_ret,white_noise,0,0,2608,7137.785639814853,7149.518317660946,0.950026969382481,0.6729930560036494,0.3145448596048067,0.3128304909790792
High yield index_chg,arma11,1,1,2608,-6900.848045509237,-6877.382689817051,0.06434416275969797,0.042631828717675915,3.829188529509499e-63,8.248644006603988e-11
S&P500_ret,white_noise,0,0,2608,6943.494922658437,6955.22760050453,0.9152903943693924,0.6169881350976821,0.002318776820890227,0.003028827363762413
US 10-year Rate_chg,ar1,1,0,2608,-8306.635679796254,-8289.036663027115,0.049162720030032435,0.03702160542330494,3.6979798166082277e-06,4.923364598554385e-06
