window,target,model_type,var_lags,n_obs,n_train,n_oos,rmse_is,mae_is,rmse_oos,mae_oos
FOCUS,brent_q_ret,VAR,1,43,36,8,13.16664722685882,10.497643550612878,16.864581840541437,13.722559085920789
FOCUS,US GDP_growth,VAR,1,43,36,8,0.3322984720997649,0.2629160248284258,0.22765835470085702,0.18016679413814246
FOCUS,GDP - Personal Consumption_growth,VAR,1,43,36,8,0.3461707852738458,0.26277570441827325,0.3487218959335394,0.2273405359734652
FOCUS,GDP - Goods Consumption_growth,VAR,1,43,36,8,0.7905295865313321,0.582326243982063,0.6601944007688261,0.45463058680248025
FOCUS,GDP - Durable Goods Consumption_growth,VAR,1,43,36,8,1.9117207647556014,1.4186169002661821,1.975582522554352,1.1908564587908588
FOCUS,GDP - Non durable Goods_growth,VAR,1,43,36,8,0.4554855245090609,0.3680320310054224,0.29969196040450996,0.2631938646060156
FOCUS,GDP - Service_growth,VAR,1,43,36,8,0.21539573865219191,0.17352523548908388,0.2433329746170532,0.192522307265858
FOCUS,GDP - Investment_growth,VAR,1,43,36,8,1.6063282398830703,1.2337046552376356,1.562328012308346,1.2851490840591109
