target_volatility,model,variable,coef,std_err,t_stat,p_value
spx_vol_abs_t1,vol_abs_ar1_t1,const,0.44648738036067853,0.024978552638482174,17.874829932012002,1.8523932445383404e-71
spx_vol_abs_t1,vol_abs_ar1_t1,spx_vol_abs_lag1,0.27510839283263,0.04278487967796759,6.4300377821162655,1.275722319439434e-10
spx_vol_abs_t1,vol_abs_har_t1,const,0.1654811668060993,0.026700868266854107,6.197594967783281,5.733244646356115e-10
spx_vol_abs_t1,vol_abs_har_t1,spx_vol_abs_lag1,0.08260316142762274,0.04507643927097354,1.8325130104234766,0.06687502517978261
spx_vol_abs_t1,vol_abs_har_t1,spx_vol_abs_week,0.33126586743778724,0.06317537269919596,5.243591818841827,1.5748038353888283e-07
spx_vol_abs_t1,vol_abs_har_t1,spx_vol_abs_month,0.3151796867844099,0.06822687244816328,4.619582804764705,3.845124051518732e-06
spx_vol_abs_t1,vol_abs_har_oil_smoothed_t1,const,0.200206129971024,0.02762819478200239,7.246442684754873,4.2786011181237913e-13
spx_vol_abs_t1,vol_abs_har_oil_smoothed_t1,spx_vol_abs_lag1,0.07962636680232688,0.04452258692031619,1.788448792179064,0.07370363033710964
spx_vol_abs_t1,vol_abs_har_oil_smoothed_t1,spx_vol_abs_week,0.33913683465422584,0.06325701683035875,5.3612524214304225,8.264693557368545e-08
spx_vol_abs_t1,vol_abs_har_oil_smoothed_t1,spx_vol_abs_month,0.33611127568700727,0.0666772737075314,5.040867105054454,4.634272161982088e-07
spx_vol_abs_t1,vol_abs_har_oil_smoothed_t1,oil_pos_ma3_lag1,-0.028564655549971816,0.03168218747213097,-0.9015998524438545,0.3672694694349362
spx_vol_abs_t1,vol_abs_har_oil_smoothed_t1,oil_pos_ma5_lag1,-0.04824003370877562,0.035865802604303346,-1.3450147551692475,0.1786204696536513
spx_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,const,0.15273984560619122,0.032420845697153824,4.711161671504454,2.463087364714965e-06
spx_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,spx_vol_abs_lag1,0.07493439534725413,0.04331256609223658,1.7300844098610333,0.08361519521962556
spx_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,spx_vol_abs_week,0.32336571259536706,0.060525131653167016,5.34266847114651,9.158818173398046e-08
spx_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,spx_vol_abs_month,0.31036531467911416,0.0682672907293518,4.5463253538150346,5.459062781846759e-06
spx_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,oil_pos_ma3_lag1,-0.02662084242040691,0.031470597076407425,-0.8458956897377637,0.3976109372394445
spx_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,oil_pos_ma5_lag1,-0.047510853024504286,0.034945172422848246,-1.3595827329053385,0.17396200536096573
spx_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,us10y_vol_abs,0.9070406818572339,0.4729624218519129,1.917785938057534,0.05513815952780992
spx_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,hy_vol_abs,0.5146884160454155,0.39579240557637624,1.3003999288361683,0.19346393431753717
spx_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,gold_vol_abs,0.025964393912853295,0.022441754470663253,1.1569680947536867,0.24728539580469622
spx_vol_abs_t1,vol_abs_har_soft_bigshock_t1,const,0.16840842631138436,0.02856618056584483,5.8953777850421485,3.738251087167816e-09
spx_vol_abs_t1,vol_abs_har_soft_bigshock_t1,spx_vol_abs_lag1,0.08603715722973222,0.045639615650440335,1.8851420197904785,0.05941066624166964
spx_vol_abs_t1,vol_abs_har_soft_bigshock_t1,spx_vol_abs_week,0.3320404950134469,0.06321562467253174,5.252506745499647,1.500429674574704e-07
