dependent_variable,best_model_name,best_r_squared,best_adj_r_squared,aic,bic,n_obs
spx_vol_t1,spx_m6_cross_asset,0.15590265272173742,0.15536569512168752,22003.15140333215,22053.219640581425,9439
hy_vol_t1,hy_m6_cross_asset,0.09345767909323577,0.09288099822751894,-18307.493511094668,-18257.425273845394,9439
gold_vol_t1,gold_m6_cross_asset,0.044564523934189304,0.0439567405524679,20403.643457951664,20453.71169520094,9439
us10y_vol_t1,us10y_m6_cross_asset,0.04055207944799799,0.03994174362067471,-34852.348429685815,-34802.28019243654,9439
