variable,coef,std_err,t_stat,p_value
const,0.01340423033032962,0.002425590926841626,5.5261710381574245,3.272950692403868e-08
brent_pos_ret,4.1982834574362505e-07,0.0013851299500647215,0.0003030967207979354,0.9997581638097481
oil_large_pos_shock,0.006361213174110167,0.00971378997480266,0.654864186955967,0.512555199921686
hy_vol_lag1,0.19610282897085152,0.04242812464739982,4.622000868541088,3.8005642254543423e-06
spx_vol,0.018382079154599187,0.002512727866065394,7.3155869375473355,2.5625880633007605e-13
us10y_vol,0.12578786094121483,0.042937171642573706,2.9295795724116065,0.003394208968495346
gold_vol,0.002957863912500136,0.0013316838805391186,2.22114569059939,0.026341095224024946
