window,target,model_type,var_lags,n_obs,n_train,n_oos,rmse_is,mae_is,rmse_oos,mae_oos
FULL,brent_q_ret,VAR,1,143,116,28,18.992389357250488,13.069722944165445,23.260392009415366,15.713295807459543
FULL,US GDP_growth,VAR,1,143,116,28,0.8864933466517704,0.5624032965867318,4.249101099000241,1.6592926616885715
FULL,GDP - Personal Consumption_growth,VAR,1,143,116,28,0.98792217587823,0.5915821808129874,5.14429201441811,1.9482107003253615
FULL,GDP - Goods Consumption_growth,VAR,1,143,116,28,1.1515155587025203,0.8186489076631057,3.2339076823903086,1.6931521775243954
FULL,GDP - Durable Goods Consumption_growth,VAR,1,143,116,28,2.2979936665390683,1.6348994411620448,4.586261449288579,2.650897981869595
FULL,GDP - Non durable Goods_growth,VAR,1,143,116,28,0.7668066542236057,0.5520712813925245,2.6072236425338335,1.2959855660430095
FULL,GDP - Service_growth,VAR,1,143,116,28,1.470459518999949,0.68334043345273,6.489271186211254,2.252416573932005
FULL,GDP - Investment_growth,VAR,1,143,116,28,2.6900144768968137,2.07560519139671,8.42421061210632,4.450835092348718
